id,title,description,category,subcategory,subsubcategory
2550,Count Collisions of Monkeys on a Polygon,"There is a regular convex polygon with n vertices. The vertices are labeled from 0 to n - 1 in a clockwise direction, and each vertex has exactly one monkey. The following figure shows a convex polygon of 6 vertices.Simultaneously, each monkey moves to a neighboring vertex. A collision happens if at least two monkeys reside on the same vertex after the movement or intersect on an edge.Return the number of ways the monkeys can move so that at least one collision happens. Since the answer may be very large, return it modulo 109 + 7. ",Dynamic Programming (DP),1D DP,Fibonacci-like Sequences
2552,Count Increasing Quadruplets,"Given a 0-indexed integer array nums of size n containing all numbers from 1 to n, return the number of increasing quadruplets.A quadruplet (i, j, k, l) is increasing if:	0 	nums[i]  ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
2553,Separate the Digits in an Array,"Given an array of positive integers nums, return an array answer that consists of the digits of each integer in nums after separating them in the same order they appear in nums.To separate the digits of an integer is to get all the digits it has in the same order.	For example, for the integer 10921, the separation of its digits is [1,0,9,2,1]. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
2554,Maximum Number of Integers to Choose From a Range I,"You are given an integer array banned and two integers n and maxSum. You are choosing some number of integers following the below rules:	The chosen integers have to be in the range [1, n].	Each integer can be chosen at most once.	The chosen integers should not be in the array banned.	The sum of the chosen integers should not exceed maxSum.Return the maximum number of integers you can choose following the mentioned rules. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
2556,Disconnect Path in a Binary Matrix by at Most One Flip,"You are given a 0-indexed m x n binary matrix grid. You can move from a cell (row, col) to any of the cells (row + 1, col) or (row, col + 1) that has the value 1. The matrix is disconnected if there is no path from (0, 0) to (m - 1, n - 1).You can flip the value of at most one (possibly none) cell. You cannot flip the cells (0, 0) and (m - 1, n - 1).Return true if it is possible to make the matrix disconnect or false otherwise.Note that flipping a cell changes its value from 0 to 1 or from 1 to 0. ",Graphs,Advanced Graph Algorithms,Max Flow/Min Cut
2558,Take Gifts From the Richest Pile,"You are given an integer array gifts denoting the number of gifts in various piles. Every second, you do the following:	Choose the pile with the maximum number of gifts.	If there is more than one pile with the maximum number of gifts, choose any.	Reduce the number of gifts in the pile to the floor of the square root of the original number of gifts in the pile.Return the number of gifts remaining after k seconds. ",Heaps (Priority Queues),Heap Applications,Kth Largest/Smallest Element
2560,House Robber IV,"There are several consecutive houses along a street, each of which has some money inside. There is also a robber, who wants to steal money from the homes, but he refuses to steal from adjacent homes.The capability of the robber is the maximum amount of money he steals from one house of all the houses he robbed.You are given an integer array nums representing how much money is stashed in each house. More formally, the ith house from the left has nums[i] dollars.You are also given an integer k, representing the minimum number of houses the robber will steal from. It is always possible to steal at least k houses.Return the minimum capability of the robber out of all the possible ways to steal at least k houses. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
2562,Find the Array Concatenation Value,"You are given a 0-indexed integer array nums.The concatenation of two numbers is the number formed by concatenating their numerals.	For example, the concatenation of 15, 49 is 1549.The concatenation value of nums is initially equal to 0. Perform this operation until nums becomes empty:	If nums has a size greater than one, add the value of the concatenation of the first and the last element to the concatenation value of nums, and remove those two elements from nums. For example, if the nums was [1, 2, 4, 5, 6], add 16 to the concatenation value.	If only one element exists in nums, add its value to the concatenation value of nums, then remove it.Return the concatenation value of nums. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
2563,Count the Number of Fair Pairs,"Given a 0-indexed integer array nums of size n and two integers lower and upper, return the number of fair pairs.A pair (i, j) is fair if:	0 	lower  ",Arrays & Strings,Two Pointers,Finding Pairs & Subarrays
2565,Subsequence With the Minimum Score,"You are given two strings s and t.You are allowed to remove any number of characters from the string t.The score of the string is 0 if no characters are removed from the string t, otherwise:	Let left be the minimum index among all removed characters.	Let right be the maximum index among all removed characters.Then the score of the string is right - left + 1.Return the minimum possible score to make t a subsequence of s.A subsequence of a string is a new string that is formed from the original string by deleting some (can be none) of the characters without disturbing the relative positions of the remaining characters. (i.e., &quot;ace&quot; is a subsequence of &quot;abcde&quot; while &quot;aec&quot; is not). ",Arrays & Strings,Advanced Array/String Techniques,Dynamic Programming on Arrays/Strings
2566,Maximum Difference by Remapping a Digit,"You are given an integer num. You know that Bob will sneakily remap one of the 10 possible digits (0 to 9) to another digit.Return the difference between the maximum and minimum values Bob can make by remapping exactly one digit in num.Notes:	When Bob remaps a digit d1 to another digit d2, Bob replaces all occurrences of d1 in num with d2.	Bob can remap a digit to itself, in which case num does not change.	Bob can remap different digits for obtaining minimum and maximum values respectively.	The resulting number after remapping can contain leading zeroes. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
